Degree Code,Degree
LLB,Bachelor of Legal Letters
MS,Master of Science
NONE,NONE
MD,Doctor of Medicine
MA,Master of Arts
TC,Teaching Certificate
PHD,Doctor of Philosophy
MLS,Master of Library Science
JD,Juris Doctor
ME,Master of Engineering
STM,Master of Sacred Theology
MBA,Master Bus Admin
UNKD,Unknown Degree
MFA,Master of Fine Arts
BD,Bachelors of Divinity
MD2,Doctor of Medicine
BS,Bachelor of Science
LLD,Doctor of Laws
MSE,Master of Science in Education
MAT,Master of Art in Teaching
MPA,Master of Public Affairs
MSW,Master of Science in Social Work
ML,Master of Laws
MM,Master of Management
UMD,Unknown Master Degree
MALS,Master of Art in Liberal Studies
ME2,Bachelor in Mechanical Engineering
BA,Bachelor of Arts
BSN,BS in Nursing
MPH,Master of Public Health
MHA,Master of Hospital Admin
DMD,Doctor of Dentistry
MCP,Master in City Planning
AA,Associate of Arts
DO,Doctor of Osteopathy
MA2,Master of Arts
BFA,Bachelor of Fine Arts
MAE,Master of Art in English
DC,Doctor of Chiropractic
BN,Bachelor of Science in Nursing
DDS,Doctor of Dental Surgery
BAE,Bachelor of Arts in Education
DP,Diploma Programme
MSM,Master of Sacred Music
BSE2,Bachelor of Science in Engineering
